content,date,ticket,title
"(['ORLANDO, Florida (Reuters) -TRADING DAY', 'Making sense of the forces driving global markets', 'By Jamie McGeever, Markets Columnist', 'The dollar slid and stocks surged on Thursday as investors ramped up bets that U.S. interest rates will soon be cut, after President Donald Trump, in his latest attack on Fed Chair Jerome Powell, reportedly said he may name his replacement early.', 'In my column today I look at where the ""pain trades"" for investors may lie in the second half of the year. More on that below, but first, a roundup of the main market moves.', 'If you have more time to read, here are a few articles I recommend to help you make sense of what happened in markets today.', ""1. Trump decision on Fed not imminent, source says 2. Investors shore up defences against another Augustmarket rout 3. Wall Street forecasts windfall for big U.S. banks fromFed plan to ease leverage rule 4. BoE echoes central banks' long bond sensitivity: MikeDolan 5. EU leaders meet to decide on whether to back quick U.S.trade deal or seek better terms"", ""Today's Key Market Moves"", '* World stocks hit a fresh record peak, the S&P 500 andNasdaq both get to within a whisker of their all-time highs. * Dollar index falls to a 3-year low, the euro and sterlinghit highest since 2021, the Swiss franc hits a decade high. * Soaring FX caps stocks in Europe, where indices lag U.S.peers. In Asia, Japanese, Chinese stocks hit 5-month and 7-monthhighs, respectively. * U.S. Treasury yields fall to lowest since early May, alsopressured by weak U.S. economic data. Curve bull steepens. * Platinum rises another 4%, now up 34% this month - itsbest month in nearly 40 years and second best ever.', ""Markets 'run it hot'"", ""Juice the economy. That seems to be the Trump administration's broad plan, which will be achieved in time by tax cuts, deregulation, and loose fiscal policy. And loose monetary policy. Most definitely loose monetary policy."", 'Pressure from the White House on the Fed to cut interest rates is nothing new. The president has unleashed several verbal tirades towards Chair Jerome Powell for not doing so, branding him ""very stupid"", ""very dumb"" and of ""low IQ"".', 'Powell\'s term as chair expires in May next year, and he insists he can\'t be fired. So Trump is now considering naming his replacement early, who could operate as a ""shadow"" Fed chair, undermining Powell\'s influence.', 'It remains to be seen how effective or even viable this would be. But the fact it\'s being floated is pouring fuel on market moves that were already beginning to catch fire - the dollar is tumbling, Fed rate cut bets are being ramped up, stocks are flying, and ""Big Tech"" is getting its mojo back.', 'The dollar on Thursday slumped to its lowest in more than three years against a basket of major currencies - performing especially poorly against European currencies - and is on track for its worst first half of any year in over half a century.', 'The Trump administration will likely be quite happy with the way markets are reacting - a more export-competitive dollar, lower short-term yields, and higher stocks. And if you look further out, higher nominal growth and above-target inflation to inflate away the debt.', ""The danger is these moves snowball and the dollar goes into a more rapid freefall, triggering widespread market dislocation. But we're not there yet, and investors are running with it."", ""Hawkish Fed could inflict markets' biggest 'pain trades'"", 'As the first half of the year closes, financial markets are in limbo, waiting to see how the kaleidoscope of global trade deals will – or won\'t – come together after July 9, when Washington\'s pause on its ""reciprocal tariffs"" expires. But if investors are wrong-footed, which trades will be the most vulnerable?', ""The state of suspended animation in today's markets isremarkably bullish. U.S. growth forecasts are rising, S&P 500earnings growth estimates for next year are running at a punchy14%, corporate deal-making is picking up, and world stocks areat record highs."", 'The uncertainty immediately following President DonaldTrump\'s April 2 ""Liberation Day"" tariffs seems a distant memory.The relief rally has ripped for nearly three months, only takinga brief pause during the 12-day war between Israel and Iran.', 'It\'s a pretty rosy outlook, some might say too rosy. If wedo see a pullback, what will be the biggest ""pain trades""?', 'The major pressure points are, unsurprisingly, in assetclasses and markets where positioning and sentiment are mostoverloaded in one direction. As always with crowded trades, asudden price reversal can push too many investors to the exitdoor at once, meaning not all will get out in time.', 'To identify the most overloaded positions, it\'s useful tolook at the Bank of America\'s monthly global fund managersurvey. In the June survey, the top three most-crowded tradesright now are long gold (according to 41% of those polled), long""Magnificent Seven"" tech stocks (23%), and short U.S. dollar(20%).', 'This popularity, of course, means these three trades havebeen highly profitable.', 'The ""Mag 7"" basket of Nvidia, Microsoft, Meta, Apple,Amazon, Alphabet and Tesla shares accounted for well over halfof the S&P 500\'s 58% two-year return in 2023 and 2024. TheRoundhill equal-weighted ""Mag 7"" ETF is up 40% this year, andthe Nasdaq 100 index, in which these seven stocks make up morethan half of the market cap, this week hit a record high.', 'Meanwhile, the gold price has virtually doubled in the lasttwo-and-a-half years, smashing its way to a record high $3,500an ounce in April. And the dollar is down 10% this year, ontrack for its worst first half of any year since the era offree-floating exchange rates was established more than 50 yearsago.', 'SLASH AND ... BURN?', 'In some ways, these three trades are an offshoot of onefundamental bet: the deep-rooted view that the Federal Reservewill cut U.S. interest rates quite substantially in the next 18months, a scenario that would make all these positionsmoney-spinners.', ""Even though the Fed's revised economic projections last weekwere notable for their hawkish tilt, rates futures markets havebeen upping their bets on lower rates, largely due to dovishcomments from several Fed officials and a sharp fall in oilprices. Traders are now predicting 125 basis points of rate cutsby the end of next year."", 'Economists at Morgan Stanley are even more dovish,forecasting no change this year but 175 basis points of cutsnext year. That would take the Fed funds range down to2.5%-2.75%.', 'Lower borrowing costs would be especially positive forshares in companies that can expect high future growth rates,like Big Tech. Low rates are also, in theory, good for gold, anon-interest-bearing asset.', ""But, on the flip side, it's difficult to construct ascenario in which the economy is chugging along, supportingequity performance, while the Fed is also slashing rates by 175bps."", 'Easing on that scale and at that speed would almostcertainly signal that the Fed was trying to put out a ragingeconomic fire, most likely a severe slowdown or recession. Whilerisk assets may not necessarily collapse in that environment,over-extended positions would be exposed.', 'Granted, this isn\'t the first time investors have banked onFed cuts in the past three years, and we have yet to see a majorblow-up as a result. Markets have handled ""higher-for-longer""rates much better than many observers warned, soaring to newhighs in the process.', 'Still, if ""pain trades"" do emerge in the second half of theyear, it will likely be because of one sore spot: a hawkish Fed.', 'What could move markets tomorrow?', ""* Japan retail sales (May) * Japan unemployment (May) * Japan Tokyo inflation (June) * Japan Softbank AGM * Euro zone sentiment indexes (June) * U.S. PCE inflation (May) * U.S. University of Michigan consumer sentiment, inflationexpectations (June, final) * Cleveland Fed President Beth Hammack and Fed Governor LisaCook participate in 'Fed Listens' event"", 'Want to receive Trading Day in your inbox every weekday morning? Sign up for my newsletter here.', 'Opinions expressed are those of the author. They do not reflect the views of Reuters News, which, under the Trust Principles, is committed to integrity, independence, and freedom from bias.', '(By Jamie McGeever)'],)","(['Reuters ', ' 41 minutes ago'],)","(['USD=X '],)",Trading Day: Markets 'run it hot'
"([' UPS is currently considered relatively overvalued, trading at a forward 12-month price to earnings (P/E) of 13.15X. This figure surpasses the Zacks Transportation—Air Freight and Cargo industry average of 12.72X. It is also higher than rival ', ' FDX.', '\xa0', 'The question that naturally arises is whether it is worth overpaying for the transportation heavyweight? Let us delve deeper and analyze UPS’s fundamentals and overall business environment.', 'UPS prioritizes returning capital to shareholders, as evidenced by its record of either maintaining or increasing its dividend each year since going public in 1999. Currently, UPS offers a dividend yield of 6.6%, which is higher than the 4.8% of the composite stocks in the industry. The transportation company’s above-industry dividend yield is a huge positive for income-seeking investors. This highlights the company’s confidence in its cash flow and prospects.', 'UPS has hiked its dividend five times in the past five years. This is encouraging, as stocks with a strong year-over-year dividend growth history often offer a greater scope of capital appreciation than simple dividend-paying stocks. UPS’s strong dividend track implies that it is less susceptible to large swings in the market, and it acts as a hedge against economic or political uncertainty, as well as stock market volatility.', 'In addition to cheering investors with regular dividend payments, UPS is active on the buyback front. In 2023, UPS’s board approved a share repurchase authorization for $5 billion. In 2024, the company bought shares worth $500 million. In the first quarter of 2025, UPS repurchased shares worth $1 billion, completing the target for 2025.', 'Strong cash flow generation is serving UPS well, allowing the company to remain committed to returning value to shareholders. UPS demonstrates financial strength with $6.3 billion in free cash flow in 2024. Free cash flow in the first quarter of 2025 was $1.5 billion.', 'The positive developments have likely led to UPS’s premium valuations, as investors have high expectations for the company’s prospects and profitability. Consequently, they are willing to pay a premium for the stock, anticipating that it will outperform its peers and the broader market in the coming months.', 'However, there are several uncertainties regarding the stock. UPS has been suffering from revenue weakness as geopolitical uncertainty and higher inflation continue to hurt consumer sentiment and growth expectations. The weak demand scenario has led to a decline in the volume of packages shipped.', 'The slowdown in online sales in the United States, apart from soft global manufacturing activity, adds to the woes. Labor expenses, courtesy of the deal with the Teamsters union, are high, limiting bottom-line growth. Amid revenue weakness, rising capital expenses as witnessed in UPS’s case are unwelcome and may dent profit margins. United Parcel Service’s high debt levels represent another concern.', 'UPS expects the second-quarter adjusted operating margin to be 9.3%. Second-quarter revenues are anticipated to be $21 billion. The effective tax rate is likely to be 23-23.5%. The average daily volume for the U.S. Domestic segment is expected to decline 9% in the June quarter. Revenues in the International Package segment are expected to decline 2% year over year in the June-end quarter. Results are scheduled to be out on July 29.', 'The uncertainties surrounding UPS are likely reflected in its price performance; UPS shares have performed disappointingly year to date, underperforming its industry and fellow industry player, ', ' GXO due to low shipment volumes.\xa0 UPS, FedEx and the industry declined 21.2%, 21.1% and 18.6%, respectively, while GXO Logistics gained 10% year to date.', '\xa0', '\xa0', 'UPS shares have plummeted 26.8% in a year, steeper than the industry’s 24% fall. FedEx and GXO Logistics have slid 24.4% and 3.9%, respectively, in a year.', 'Over the past 60 days, the Zacks Consensus Estimate for UPS’s second- and third-quarter 2025 earnings, as well as its 2025 and 2026 earnings, has moved south.', '\xa0', 'Based on the write-up, we can safely conclude that while the company’s long-term outlook is strong and some investors may be willing to accept the premium. However, caution is warranted, given the near-term concerns associated with the stock. Despite signs of easing trade tensions, we do not expect the trade-related uncertainty to dissipate until a concrete long-term trade deal is in place. As a result, due to the tariff-related uncertainty, UPS is likely to continue suffering from a demand slowdown at least in the short term.', 'Instead of rushing to invest in UPS, which currently carries a Zacks Rank #3 (Hold), it is prudent to wait for a more advantageous entry point. You can see ', 'Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. '],)","(['Zacks ', ' 6 hours ago'],)","(['UPS ', 'FDX '],)",UPS Trades at Premium Valuation: Should Investors Buy the Stock?
"(['U.S. equities gained at midday as the government reported fewer initial jobless claims than had been expected.', 'The possibility Congress may not eliminate tax incentives for rooftop solar installations lifted shares of Enphase Energy and others in the sector.', 'Equinix gave a weak long-term outlook, leading to analyst downgrades.', 'U.S. equities were higher at midday as the latest unemployment data suggested the job market remained strong. The ', ', ', ', and ', ' all advanced.', 'Enphase Energy (', ') was the best-performing stock in the S&P 500, and shares of other solar power companies rose as well, on indications Congress may not cut federal tax incentives for residential rooftop solar installations.', 'McCormick (', ') shares jumped as the spice maker posted better-than-expected profit on a higher volume and product mix, and said it was in a position to deal with the impact of higher tariffs.', 'Shares of Freeport-McMoRan (', ') and rival copper miners took off along with the price of the metal, which gained on concerns about supply and higher demand.', 'Equinix (', ') shares tumbled on downgrades from Raymond James and BMO as the internet services firm gave a soft long-term outlook at its analyst day event.', 'Shares of Clorox (', "") fell when Jefferies lowered its price target, citing the potential effect of the consumer products maker's rollout of its U.S. Enterprise Resource Planning system."", 'Kratos Security & Defense Solutions (', ') shares declined after the military contractor announced a $500 million stock sale.', 'Oil futures increased. Gold prices slipped. The yield on the 10-year Treasury note ticked lower. The U.S. dollar lost ground to the euro, pound, and yen. Most major cryptocurrencies fell.', 'Read the original article on '],)","(['Investopedia ', ' 5 hours ago'],)","(['ENPH ', 'EQIX '],)","Top Stock Movers Now: Enphase Energy, McCormick, Equinix, and More"
"(['Pre-market futures are up this morning, though by slimmer margins upon a bevy of economic data hitting the tape. The Nasdaq, nearing all-time highs as of Wednesday’s close (and getting there on the Nasdaq 100) is down 40 points to 74 at this hour. The Dow went from 105 to 90 points and the S&P 500 has remained constant at 15 points.', 'While Initial ', ' have come down -9K to 236K from a slightly upwardly revised 245K the prior week — which is good: the lowest print since mid-May, in fact — it’s', ' that carries the bigger story this morning. Longer-term jobless claims reached 1.974 million two weeks ago (Continuing Claims are reported a week in arrears from new claims), above 1.9 million for the fifth-straight week and the highest level we’ve seen since mid-November of 2021.', 'For the first part of 2025, we were ping-ponging around that 1.9 million level, but now jobless claims on the longer-term side are clearly trying to break out. And, while 1.9 million is merely a psychological touch-point, once Continuing Claims reaches 2 million per week, expect a change in the narrative — including from the Fed — on our steady and secure labor market.', 'The ', 'usually doesn’t waver too much from estimates, but in this case, -0.5% is more than twice as low as the first revision to -0.2% (-0.3% was the original Q1 GDP print). This is the weakest quarter since Q1 2022. We see Consumption cut by more than half from the previous read: from +1.2% last time to +0.5% this morning. The ', ' and core both tick up 10 basis points (bps) to +3.8% and +3.5%, respectively. The full Personal Consumption Expenditures (PCE) report comes out Friday morning.', 'The preliminary May headline for ', ' blasted off into a new orbit: +16.4% more than doubles the +7% anticipated, led by a huge +234% change in non-defense aircraft. Stripping out airlines, airplanes and transportation, we see a still-strong +0.5% — the highest print since September of last year. Officially, non-defense, ex-aircraft came in at +1.7%, and that’s the largest tally we’ve seen since January.', 'The ', ' for May reached -$96.6 billion, sinking deeper from the upwardly revised -$87.0 billion. We’re thankfully off the early 2025 levels that hit record lows in March of -$162 billion, but still pretty deep in the hole. Imports remained fairly steady but Exports fell -5.2% for the month.', ' in May jumped to +0.3% month over month and +3.2% year over year. ', ', on the other hand, sank -0.3% for the month and +1.4% from the year-ago number. All of this data can be seen through the prism of tariff realities — both those already levied and those anticipated, which led to much higher trading volume ahead of reciprocal tariffs, which remain murky looking ahead.', 'Once the regular trading day gets going, ', ' for May will come out. These are expected to improve to -0.5% from -6.3% the prior month. This metric follows Wednesday’s New Home Sales tallies, which came way down to 623K in May from an estimate of 695K and -99K month over month. Existing Home Sales, released on Monday, outperformed expectations: 4.03 million versus 3.95 million projected.', 'While Q2 earnings season is unofficially a couple weeks away, ', '(NKE) posts fiscal Q4 results after today’s closing bell. This is a good representative of an American manufacturer with deep ties to Asia and this year’s new tariff realities. As such, Nike is expected to bring in earnings down -88% year over year and -15% on revenues. Yet the company has a 7-straight quarterly earnings beat, with a trailing 4-quarter average of +42.5%.', 'Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. '],)","(['Zacks ', ' 6 hours ago'],)","(['^IXIC ', '^SPX '],)",Jobless Claims Decreased More Than Expected
"(['Nasdaq-listed Upexi (UPXI), a consumer-goods company with a crypto treasury strategy focused on Solana SOL, ', ' on Thursday it will tokenize its SEC-registered shares on the Solana network.', 'The firm has tapped Opening Bell, the tokenized equity issuance platform developed by digital asset manager Superstate and initially available on Solana.', ""Tokenized shares are able to trade around the clock, settle in real time and be held in crypto wallets. It's one of the latest trends within the booming tokenization sector, with firms like "", ', ', ' and ', ' eyeing to take part in it.', 'The company also revealed that it added some 56,000 SOL to its treasury through the past month, bringing total holdings to 735,692 SOL, worth roughly $105 million.', ""Upexi is part of the growing cadre of publicly-traded companies that invest in cryptocurrencies, seeking to emulate the success of Michael Saylor's Strategy, the largest corporate owner of bitcoin BTC. The firm "", ' to a Solana treasury strategy in April raising $100 million in a private placement led by crypto trading giant GSR.'],)","(['CoinDesk ', ' 6 hours ago'],)","(['SOL-USD ', 'UPXI '],)",Solana-Focused Upexi to Tokenize Shares; Added 56K SOL to Holdings
"(['Intercorp Financial Services Inc. (IFS) appears an attractive pick, as it has been recently upgraded to a Zacks Rank #1 (Strong Buy). This upgrade is essentially a reflection of an upward trend in earnings estimates -- one of the most powerful forces impacting stock prices.', ""The sole determinant of the Zacks rating is a company's changing earnings picture. The Zacks Consensus Estimate -- the consensus of EPS estimates from the sell-side analysts covering the stock -- for the current and following years is tracked by the system."", 'The power of a changing earnings picture in determining near-term stock price movements makes the Zacks rating system highly useful for individual investors, since it can be difficult to make decisions based on rating upgrades by Wall Street analysts. These are mostly driven by subjective factors that are hard to see and measure in real time.', 'Therefore, the Zacks rating upgrade for Intercorp Financial Services basically reflects positivity about its earnings outlook that could translate into buying pressure and an increase in its stock price.', ""The change in a company's future earnings potential, as reflected in earnings estimate revisions, has proven to be strongly correlated with the near-term price movement of its stock. The influence of institutional investors has a partial contribution to this relationship, as these big professionals use earnings and earnings estimates to calculate the fair value of a company's shares. An increase or decrease in earnings estimates in their valuation models simply results in higher or lower fair value for a stock, and institutional investors typically buy or sell it. Their bulk investment action then leads to price movement for the stock."", ""Fundamentally speaking, rising earnings estimates and the consequent rating upgrade for Intercorp Financial Services imply an improvement in the company's underlying business. Investors should show their appreciation for this improving business trend by pushing the stock higher."", 'Empirical research shows a strong correlation between trends in earnings estimate revisions and near-term stock movements, so it could be truly rewarding if such revisions are tracked for making an investment decision. Here is where the tried-and-tested Zacks Rank stock-rating system plays an important role, as it effectively harnesses the power of earnings estimate revisions.', ""The Zacks Rank stock-rating system, which uses four factors related to earnings estimates to classify stocks into five groups, ranging from Zacks Rank #1 (Strong Buy) to Zacks Rank #5 (Strong Sell), has an impressive externally-audited track record, with Zacks Rank #1 stocks generating an average annual return of +25% since 1988. You can see the complete list of today's Zacks #1 Rank (Strong Buy) stocks here >>>> ."", 'This company is expected to earn $4.34 per share for the fiscal year ending December 2025, which represents no year-over-year change.', 'Analysts have been steadily raising their estimates for Intercorp Financial Services. Over the past three months, the Zacks Consensus Estimate for the company has increased 2.6%.', 'Unlike the overly optimistic Wall Street analysts whose rating systems tend to be weighted toward favorable recommendations, the Zacks rating system maintains an equal proportion of ""buy"" and ""sell"" ratings for its entire universe of more than 4,000 stocks at any point in time. Irrespective of market conditions, only the top 5% of the Zacks-covered stocks get a ""Strong Buy"" rating and the next 15% get a ""Buy"" rating. So, the placement of a stock in the top 20% of the Zacks-covered stocks indicates its superior earnings estimate revision feature, making it a solid candidate for producing market-beating returns in the near term.', 'You can learn more about the Zacks Rank here >>>', 'The upgrade of Intercorp Financial Services to a Zacks Rank #1 positions it in the top 5% of the Zacks-covered stocks in terms of estimate revisions, implying that the stock might move higher in the near term.', 'Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. '],)","(['Zacks ', ' 5 hours ago'],)","(['IFS.LM ', 'IFS '],)",Intercorp Financial Services (IFS) Upgraded to Strong Buy: Here's Why
"([""Equinix shares sank for a second straight session as investors reacted to the company's new long-term targets."", 'The firm said at its annual analyst day that it expects 7% to 10% revenue growth through 2029 as it increases its data center capacity to meet growing demand.', 'UBS analysts said the targets were in line with estimates over the long-term, but ""point to a near-term slowdown"" in profit growth as it invests more to drive sales.', 'Equinix (', ') shares slumped for a second day Thursday, posting the biggest intraday decline among S&P 500 companies the data center company laid out its growth targets for the next several years.', 'At its annual analyst day Wednesday, Equinix said it expects revenue to grow by 7% to 10% annually through 2029. Its adjusted ', ' margin is projected to hit at least 52% by 2029, while ', ' are expected to grow from 5% to 9% through 2029, starting at the lower end and eventually reaching the higher end of the range.', 'Those targets are forecast as Equinix looks to double the capacity across its data center network by the end of 2029, the company said in a presentation.', 'UBS analysts said the targets were ""largely in line with expectations on a longer term basis but point to a near-term slowdown in per share growth as investments to accelerate top-line growth ramp.""', 'Equinix shares were down 10% in recent trading after a 9% drop Wednesday, putting them down more than 20% since the start of the year.', 'UBS analysts held their $1,035 price target and ""buy"" rating, adding that they ""believe industry fundamentals and secular trends remain supportive but updated financial targets point to a near-term estimate reset and more meaningful acceleration in growth to \'27.""', 'Read the original article on '],)","(['Investopedia ', ' 6 hours ago'],)","(['EQIX ', '^SPX '],)",Equinix Stock Leads S&P Decliners as Investors Digest Growth Targets
"([""Investors with an interest in Financial - Investment Management stocks have likely encountered both Affiliated Managers Group (AMG) and Carlyle Group (CG). But which of these two companies is the best option for those looking for undervalued stocks? Let's take a closer look."", 'The best way to find great value stocks is to pair a strong Zacks Rank with an impressive grade in the Value category of our Style Scores system. The proven Zacks Rank emphasizes companies with positive estimate revision trends, and our Style Scores highlight stocks with specific traits.', 'Currently, Affiliated Managers Group has a Zacks Rank of #1 (Strong Buy), while Carlyle Group has a Zacks Rank of #3 (Hold). This system places an emphasis on companies that have seen positive earnings estimate revisions, so investors should feel comfortable knowing that AMG is likely seeing its earnings outlook improve to a greater extent. But this is only part of the picture for value investors.', 'Value investors also try to analyze a wide range of traditional figures and metrics to help determine whether a company is undervalued at its current share price levels.', ""The Value category of the Style Scores system identifies undervalued companies by looking at a number of key metrics. These include the long-favored P/E ratio, P/S ratio, earnings yield, cash flow per share, and a variety of other fundamentals that help us determine a company's fair value."", ""AMG currently has a forward P/E ratio of 8.24, while CG has a forward P/E of 12.11. We also note that AMG has a PEG ratio of 0.64. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. CG currently has a PEG ratio of 1.06."", ""Another notable valuation metric for AMG is its P/B ratio of 1.33. The P/B is a method of comparing a stock's market value to its book value, which is defined as total assets minus total liabilities. By comparison, CG has a P/B of 2.78."", 'Based on these metrics and many more, AMG holds a Value grade of A, while CG has a Value grade of C.', 'AMG is currently sporting an improving earnings outlook, which makes it stick out in our Zacks Rank model. And, based on the above valuation metrics, we feel that AMG is likely the superior value option right now.', 'Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. '],)","(['Zacks ', ' 6 hours ago'],)","(['AMG '],)",AMG vs. CG: Which Stock Is the Better Value Option?
"([' SHOP is growing its presence in the e-commerce domain by offering user-friendly tools and an extensive app marketplace.', 'According to the Morder Intelligence report, the e-commerce market is projected to be worth $10.19 trillion in 2025. It is expected to reach $21.22 trillion by 2030, with a compound annual growth rate of 15.8% over the 2025-2030 period. Shopify is likely to gain from the massive growth opportunity.', 'Shopify’s robust growth in its merchant base is driven by its merchant-friendly tools, including Shop Pay, Shopify Pay Instalments, Sign in with Shop and the Shop App. The strong adoption of these solutions holds promise for Shopify’s prospects.', 'SHOP’s expanding portfolio has been a major growth driver for its success. Its merchant-friendly tool Shop Pay stands out as a key driver. The app processed $22 billion in Gross Merchandise Value in the first quarter of 2025, up 57% year over year. Large brands like Birkenstock, Lilly Pulitzer, and Johnny adopted Shop Pay, enhancing Shopify’s portfolio.', 'Further expanding its portfolio, Shopify recently partnered with Coinbase and Stripe to enable merchants worldwide to accept USDC stablecoin payments through Shopify Payments. This integration offers fast, borderless transactions on the Base network, with no added fees and seamless checkout experiences.', 'Shopify is facing stiff competition in the e-commerce marketplace against the likes of ', ' ETSY and ', ' BIGC.', 'BigCommerce is benefiting from its expanding portfolio, particularly with the introduction of Catalyst, enabling businesses to create unique and efficient B2B and B2C e-commerce experiences. BigCommerce also benefits from its AI-powered tools and integrations.', 'Etsy is benefiting from enhanced personalization through AI, strong mobile app performance, and continued growth in gifting, as well as Depop’s impressive performance.', 'Etsy is also improving its customer experience through more browsable and personalized shopping experiences, particularly on its mobile app. The app now accounts for 44.5% of total Etsy marketplace Gross Merchandise Sales in the first quarter of 2025, with better buyer conversion rates, more monthly active users, and increased app downloads.', 'Shopify shares have surged 7.1% year to date, outperforming the broader Zacks Computer & Technology sector’s return of 3.6%. The Zacks Internet Services industry declined 9.3% in the same time frame.', 'SHOP stock is trading at a premium, with a forward 12-month Price/Sales of 12.47X compared with the industry’s 5.05X. SHOP has a Value Score of F.', 'The Zacks Consensus Estimate for second-quarter 2025 earnings is pegged at 28 cents per share, which has remained unchanged over the past 30 days, indicating a 7.69% increase year over year.', 'Shopify Inc. price-consensus-chart | Shopify Inc. Quote', 'The consensus mark for 2025 earnings is pegged at $1.40 per share, unchanged over the past 30 days, suggesting 7.69% year-over-year growth.', 'SHOP currently carries a Zacks Rank #3 (Hold). You can see ', '.', 'Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. '],)","(['Zacks ', ' 6 hours ago'],)","(['SHOP ', 'ETSY '],)",Shopify's E-commerce Growth Picks Up: A Sign for More Upside?
"(['A spot dogecoin ETF DOGE may be coming closer to reality.', 'ETF issuer Bitwise updated a regulatory filing for its dogecoin ETF on Thursday, suggesting approval chances could be growing, according to one expert.', '“Bitwise has filed amended S-1s for their spot dogecoin ETF and their spot aptos ETFs,"" ', '. ""Good signs as it indicates SEC engagement, and tracks with other spot approvals.""', 'Also noteworthy is the fact that the dogecoin ETF filing was amended to include in-kind redemptions and creations, meaning that the broker-dealers interacting with the ETF can directly trade shares for DOGE tokens, or vice versa.', '""Near-lock at this point that in kind will be allowed in spot ETFs across board,"" ', '.', 'As of right now, all U.S.-based crypto ETFs must swap their tokens for cash, then swap that cash for shares (or swap the shares for cash, then the cash for tokens), which creates a tax event.', ""The news isn't helping prices much, with DOGE lower by about 2% over the past 24 hours to $0.16."", '21Shares has also ', ' for a dogecoin ETF, while Grayscale has ', ' for a dogecoin trust with a 2.5% fee.'],)","(['CoinDesk ', ' 5 hours ago'],)","(['DOGE-USD '],)",Spot DOGE ETF Appears Nearer as Bitwise Amends Filing
